"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000160208",11930.2104264768,-0.17644895144537,0.0638554700622897,-2.76325507075976,0.0057228025120514,0.0174285349230656
"ENSG00000183421",86.1631776623116,0.660314201138923,0.244565470770393,2.6999486029606,0.0069350188908058,0.0206509451415106
"ENSG00000205758",710.319727681005,0.239980439145194,0.0903646613756862,2.65568902148029,0.00791465635321451,0.0230557380724075
"ENSG00000234289",44.8306138763431,0.882598151456754,0.340623790504813,2.59112303972873,0.00956632820914108,0.0272742123409554
"ENSG00000155313",2982.8227902116,-0.15004046381494,0.0609053915831914,-2.46350051965429,0.0137587696013563,0.037626022991464
"ENSG00000157554",907.877589048036,-0.227618767785672,0.0923914277736243,-2.46363513662089,0.0137536038069803,0.037626022991464
"ENSG00000173638",3299.10185916834,-0.217709034137588,0.0911987455826519,-2.38719329686703,0.0169775621320237,0.0454998665138236
"ENSG00000154642",773.083762854128,-0.254209309007667,0.106850280842762,-2.37911690079462,0.0173541714182745,0.0455972347068389
"ENSG00000160213",5283.35748094492,0.120044112253174,0.0517884755937489,2.31796960379471,0.0204509730797214,0.0527005844746668
"ENSG00000265590",446.804863123261,0.335521350946479,0.145534562467796,2.30544102553456,0.0211418860727047,0.0534530704479703
"ENSG00000183527",5113.00364310817,-0.116971970952275,0.0509674596228909,-2.29503239552752,0.0217312678220015,0.053925738669411
"ENSG00000160233",41.6357944322209,-0.781034049405529,0.346770885318078,-2.25230572252085,0.0243029587869168,0.0592108450444883
"ENSG00000141956",1737.54874815358,-0.177472125887835,0.0803876771575565,-2.2077031227062,0.0272649750194546,0.0652411902251235
"ENSG00000159263",577.928646149009,-0.214927248128507,0.100597040964405,-2.13651660196006,0.0326373292307925,0.0767263529285296
"ENSG00000185808",857.152959282966,0.179832176602502,0.0852713769156595,2.10893951883022,0.0349498025026174,0.0807460954370816
"ENSG00000157601",45.5358653713308,0.795498670516538,0.382183924263157,2.08145507964586,0.0373922716433472,0.0849248203425174
"ENSG00000160216",3709.53051331348,-0.137253103358905,0.0673474944761664,-2.03798380959038,0.0415515520556442,0.0927984662576055
"ENSG00000160209",17560.3853129304,0.0790562808999365,0.0400418926698142,1.97433926392629,0.048343179139831,0.10619649188094
"ENSG00000157617",1957.43571978601,-0.171960941251863,0.0874796034920016,-1.96572611657511,0.049330256316098,0.106617005586405
"ENSG00000159086",3101.01399258714,-0.112717712520017,0.0577691586137747,-1.95117455792649,0.0510362844055823,0.108553366830921
